GCSEgrade,Course,Disposition,SelfEfficacy,dropOUTretrieved,dropOUToriginal,Gender,Language,EMA,Ethnicity,LPN,HEFCE,uniFAM
2_higherC,ASTrad,4.32,0.99,no,no,female,ENGLISH,no,NA,YES,1,parents
4_higherB,ASTrad,-2.84,-1.27,yes,yes,female,BILINGUAL,no,BLACK,YES,1,firstgeneration
4_higherB,ASTrad,4.32,2.14,no,no,female,BILINGUAL,no,BLACK,NO,6,parents
4_higherB,ASTrad,2.83,-0.23,no,no,male,ENGLISH,no,NA,NO,3,parents
4_higherB,ASTrad,4.32,0.43,no,no,female,ENGLISH,no,WHITE,NO,6,parents
4_higherB,ASTrad,-5.33,-0.42,yes,yes,male,ENGLISH,yes,ASIAN,NO,6,siblings
4_higherB,ASTrad,2.83,-0.62,no,no,female,BILINGUAL,no,NA,NA,NA,parents
4_higherB,ASTrad,2.83,6.05,no,no,female,NA,NA,CHINESE,NA,NA,NA
4_higherB,ASTrad,-1.12,2.51,yes,yes,male,ENGLISH,yes,NA,YES,1,NA
4_higherB,ASTrad,1.63,1.97,yes,yes,male,ENGLISH,yes,WHITE,YES,1,firstgeneration
4_higherB,ASTrad,0.5,2.72,yes,yes,male,ENGLISH,yes,WHITE,NO,3,firstgeneration
4_higherB,ASTrad,-1.12,0.32,yes,yes,male,ENGLISH,no,WHITE,NA,NA,parents
4_higherB,ASTrad,-2.84,1.39,no,no,male,ENGLISH,no,WHITE,NO,6,siblings
4_higherB,ASTrad,4.32,1.97,no,no,female,ENGLISH,no,WHITE,NO,6,parents
4_higherB,ASTrad,2.83,1.01,yes,yes,female,ENGLISH,no,NA,YES,1,parents
4_higherB,ASTrad,1.63,2.31,yes,yes,male,ENGLISH,yes,NA,YES,1,firstgeneration
4_higherB,ASTrad,1.63,0.65,yes,yes,male,ENGLISH,no,WHITE,NO,6,parents
4_higherB,ASTrad,4.32,0.54,yes,yes,female,ENGLISH,no,WHITE,NO,6,siblings
4_higherB,ASTrad,1.63,0.65,yes,yes,male,ENGLISH,no,WHITE,NO,6,parents
4_higherB,ASTrad,0.5,-0.11,yes,yes,female,ENGLISH,no,WHITE,NO,5,parents
4_higherB,ASTrad,-1.12,0.21,yes,yes,male,ENGLISH,yes,WHITE,NO,3,firstgeneration
4_higherB,ASTrad,4.32,1.81,yes,yes,female,ENGLISH,no,WHITE,NO,6,siblings
4_higherB,ASTrad,1.63,1.39,no,no,male,ENGLISH,no,WHITE,NO,6,siblings
4_higherB,ASTrad,0.5,0.89,yes,yes,male,ENGLISH,no,WHITE,YES,2,parents
4_higherB,ASTrad,0.5,1.26,yes,yes,male,ENGLISH,no,WHITE,NO,3,siblings
4_higherB,ASTrad,4.32,1.81,no,no,male,ENGLISH,yes,NA,NO,3,siblings
4_higherB,ASTrad,4.32,0.32,yes,yes,male,ENGLISH,yes,WHITE,NO,4,siblings
4_higherB,ASTrad,1.63,0.89,yes,yes,female,BILINGUAL,yes,NA,NO,5,parents
